"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-13","12.30","0.12","0.0","0.0","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-14","12.08","0.02","0.0","0.0","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-15","13.65","0.19","0.0","0.0","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-16","8.05","0.10","0.0","0.0","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-17","8.50","0.00","0.0","0.0","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-18","10.51","0.00","0.0","0.0","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-19","13.42","0.00","0.0","0.0","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-20","11.18","0.82","0.0","0.0","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-21","7.61","0.01","0.0","0.0","75"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-22","6.71","0.00","0.0","0.0","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-23","6.49","0.00","0.0","0.0","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-24","5.14","0.00","0.0","0.0","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-25","4.92","0.00","0.0","0.0","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-26","7.61","0.00","0.0","0.0","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-27","10.07","0.21","0.0","0.0","75"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-28","9.40","0.03","0.0","0.0","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-29","8.95","0.00","0.0","0.0","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-30","6.93","0.00","0.0","0.0","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05-31","8.05","0.00","0.0","0.0","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-01","12.97","0.00","0.0","0.0","75"
